Headache,34
Nausea,34
Rash,32
Vomiting,31
Dizziness,31
Abdominal pain,30
Pruritus,29
Insomnia,29
Diarrhoea,29
Hypertension,28
Dyspepsia,28
Urticaria,28
Dyspnoea,28
Asthenia,28
Depression,27
Pyrexia,27
Constipation,27
Arthralgia,27
Angioedema,26
Anaemia,26
Thrombocytopenia,25
Vertigo,25
Influenza,25
Anxiety,25
Tremor,25
Paraesthesia,25
Palpitations,25
Hepatitis,25
Tachycardia,24
Pancreatitis,24
Cough,24
Pain,24
Somnolence,24
Myalgia,24
Nervousness,24
Sinusitis,23
Decreased appetite,23
Hypotension,23
Flatulence,23
Leukopenia,23
Rhinitis,23
Back pain,22
Infection,22
Seizure,22
Chest pain,22
Fatigue,22
Alopecia,22
Flushing,22
Hypersensitivity,22
Syncope,21
Hyperhidrosis,21
Dry mouth,21
Malaise,21
Vision blurred,21
Epistaxis,21
Arrhythmia,21
Photosensitivity reaction,21
Muscle spasms,21
Hyperglycaemia,21
Jaundice,21
Anaphylactic reaction,21
Confusional state,21
Chills,21
Urinary tract infection,21
Pharyngitis,21
Myocardial infarction,20
Affect lability,20
Stevens-Johnson syndrome,20
Erythema multiforme,20
Bronchospasm,20
Tinnitus,20
Death,19
Nasal congestion,19
Hypokalaemia,19
Toxic epidermal necrolysis,19
Lymphadenopathy,19
Oedema peripheral,19
Diabetes mellitus,19
Hepatic failure,18
Skin reaction,18
Dysuria,18
Anaphylactoid reaction,18
Agranulocytosis,18
Conjunctivitis,18
Asthma,18
Hypoglycaemia,18
Eructation,18
Oedema,18
Aplastic anaemia,17
Glossitis,17
Cardiac failure,17
Haemolytic anaemia,17
Bradycardia,17
Haemorrhage,17
Acute kidney injury,17
Hallucination,17
Abdominal discomfort,17
Acne,16
Pneumonia,16
Gastrointestinal disorder,16
Gastritis,16
Arthritis,16
Cerebrovascular accident,16
Hyperkalaemia,16
Irritability,16
Abdominal pain upper,16
Bronchitis,16
Dermatitis allergic,16
Upper respiratory tract infection,15
Neutropenia,15
Liver function test abnormal,15
Ecchymosis,15
Pancytopenia,15
Migraine,15
Renal failure,15
Vasculitis,15
Cataract,14
Menorrhagia,14
Nightmare,14
Nasopharyngitis,14
Dry eye,14
Restlessness,14
Deafness,14
Rectal haemorrhage,14
Agitation,14
Diplopia,14
Cardiac failure congestive,14
Hepatotoxicity,14
Gastrointestinal haemorrhage,14
Melaena,14
Urinary retention,14
Weight increased,13
Breast cancer,13
Dermatitis exfoliative,13
Hypoaesthesia,13
Dermatitis bullous,13
Chest discomfort,13
Polyuria,13
Respiratory depression,13
Granulocytosis,13
Ataxia,13
Proteinuria,13
Purpura,13
Wheezing,13
Renal impairment,13
Stomatitis,13
Oliguria,13
Hepatic necrosis,13
Eosinophilia,13
Sepsis,12
Central nervous system stimulation,12
Hirsutism,12
Atrial fibrillation,12
Haematuria,12
Muscular weakness,12
Coma,12
Fluid retention,12
Increased appetite,12
Dermatitis,12
Serum sickness,12
Idiopathic intracranial hypertension,12
Pulmonary hypertension,11
Musculoskeletal pain,11
Eczema,11
Abdominal distension,11
Pain in extremity,11
Completed suicide,11
Aggression,11
Cholestasis,11
Respiratory tract infection,11
Arthropathy,11
Visual impairment,11
Lethargy,11
Neuritis,11
Haematemesis,11
Optic neuritis,11
Hepatic enzyme increased,11
Blood creatinine increased,11
Hypoproteinaemia,11
Systemic lupus erythematosus,11
Colitis,11
Jaundice cholestatic,11
Blood urea increased,11
Oesophagitis,11
Cystitis,11
Amnesia,11
Gastroenteritis,11
Laryngitis,11
Azotaemia,10
Retching,10
Amblyopia,10
Cyst,10
Cardiac arrest,10
Psychomotor hyperactivity,10
Hyponatraemia,10
Dysphagia,10
