Physiologic Effect (PE),44
Generalized Systemic Effects,42
Organ System Specific Effects,36
Immunologic Activity Alteration,35
Decreased Immunologic Activity,33
Nervous System Activity Alteration,31
Endocrine Activity Alteration,30
Immunologically Active Molecule Production Alteration,25
Decreased Immunologically Active Molecule Production,25
Decreased Prostaglandin Production,24
Decreased Lipid Derived Immunologically Active Molecule Production,24
Decreased Eicosanoid Production,24
Cellular Activity Alteration,24
Peripheral Nervous System Activity Alteration,24
Respiratory/Pulmonary Activity Alteration,20
Hypothalamic Endocrine Activity Alteration,19
Musculoskeletal Activity Alteration,18
Vascular Alterations,16
Metabolic Activity Alteration,16
Carbohydrate Metabolism Alteration,16
Cardiovascular Activity Alteration,16
Cellular Synthetic Activity Alteration,15
Central Nervous System Activity Alteration,15
Decreased Platelet Activating Factor Production,15
Immunologically Active Molecule Activity Alteration,15
Cellular Cycle Alteration,15
Decreased Thromboxane Production,15
Neurotransmitter & Neuromuscular Transmitter Activity Alteration,14
Smooth Muscle Tone Alteration,14
Autonomic Nervous System Activity Alteration,14
Bronchial Smooth Muscle Tone Alteration,13
Glucose Metabolism Alteration,13
Respiratory Smooth Muscle Tone Alteration,13
Bronchodilation,12
Vascular Tone Alteration,12
Lipid Metabolism Alteration,11
Adrenal Cortical Activity Alteration,11
Decreased Immunologically Active Molecule Activity,11
Striated Muscle Metabolic Alteration,10
Translation Alteration,10
Hematologic Activity Alteration,10
Decreased Protein Synthesis,10
Renal/Urological Activity Alteration,10
Striated Muscle Anabolism Alteration,10
Hemic/Lymphatic Activity Alteration,10
Renal Ion Transport Alteration,9
Histamine Activity Alteration,9
Decreased Immunologically Active Biogenic Amine Activity,9
Decreased Histamine Activity,9
Lysosomal Function Alteration,8
Decreased Lysosomal Function,8
Cellular Degradation/Digestion Alteration,8
Decreased Cellular Migration,8
Cellular Motion Alteration,8
Decreased Glucocorticoid Secretion,8
Vasoconstriction,8
Polysaccharide Metabolism Alteration,7
Cholesterol Metabolism Alteration,7
Cholesterol Synthesis Alteration,7
Decreased Renal Ion Excretion,7
Decreased Cholesterol Synthesis,7
Glycogen Metabolism Alteration,7
Sterol Metabolism Alteration,7
Decreased Tracheobronchial Stretch Receptor Activity,6
Tracheobronchial Stretch Receptor Alteration,6
Medullary Respiratory Center Activity Alteration,6
Decreased Medullary Respiratory Drive,6
Blood & Lymphatic Fluid Function Alteration,6
Female Reproductive System Activity Alteration,6
Decreased Intravascular Volume,6
Decreased Glycogenesis,6
Cell Glucose Transport Alteration,6
Increased Glucose Transport into Cells,6
Reproductive System Activity Alteration,6
Decreased Gluconeogenesis,6
Intravascular Volume Alteration,6
Ovarian Function Alteration,6
Ovulation Alteration,6
Increased Immunologically Active Molecule Activity,5
Decreased Vascular Permeability,5
Embryonic & Fetal Alteration,5
Increased Immunologic Activity,5
Inhibit Ovulation,5
Vascular Permeability Alteration,5
Digestive/GI System Activity Alteration,5
Embryonic Implantation Alteration,5
Decreased Capillary Permeability,5
Decreased Fibroblast Migration,5
Decreased Polymorphonuclear Leukocyte Migration,5
Decreased Blood Pressure,5
Decreased Embryonic Implantation,5
Increased Renal Ion Excretion,5
Arterial Vasodilation,5
Vasodilation,5
Blood Pressure Alteration,5
Increased Renal Na+ Excretion,5
Bone Formation Alteration,4
Metabolic Rate Alteration,4
Hemostasis Alteration,4
Decreased Platelet Aggregation,4
Coagulation Activity Alteration,4
Decreased Coagulation Activity,4
Platelet Aggregation Alteration,4
Electrical Activity Alteration,4
Increased Insulin Secretion,4
